id,date,nday,h,m,foF2,h'Es,comp_1,comp_2
ak0028jvqcwp,2002-06-25,10.0,11,30,4.95,115.0,0.6317678614433234,0.21374374834387894
ak0028jvqcwp,2002-06-25,10.0,12,0,4.5,77.0,0.3463141073427928,-0.0275802257857702
ak0028jvqcwp,2002-06-25,10.0,12,30,5.5,95.0,0.2770014762333635,0.29587105932540375
ak0028jvqcwp,2002-06-25,10.0,13,0,5.3,88.0,0.33741008196976197,0.12935941558543895
ak0028jvqcwp,2002-06-25,10.0,13,30,5.6,93.0,0.19886581220931387,0.28256228688003315
ak0028jvqcwp,2002-06-25,10.0,14,0,5.9,87.0,0.10522152939431219,0.024561342393176287
ak0028jvqcwp,2002-06-25,10.0,14,30,5.712999999999999,95.0,0.10427839831639593,0.15973272572539005
ak0028jvqcwp,2002-06-25,10.0,15,0,5.25,90.0,0.06697028525366339,-0.02048549938665809
ak0028jvqcwp,2002-06-25,10.0,15,30,5.225,90.0,-0.03615254069765571,0.141634421468945
ak0028jvqcwp,2002-06-25,10.0,16,0,5.513,95.0,-0.112932265136086,-0.04530409565897916
ak0028jvqcwp,2002-06-25,10.0,16,30,6.25,102.0,-0.15875837885362745,0.1379014327703025
ak0028jvqcwp,2002-06-25,10.0,17,0,5.113,95.0,-0.25973490903403246,-0.13410369703931346
ak0028jvqcwp,2002-06-25,10.0,17,30,5.35,90.0,-0.2616541436773848,0.03430447939953975
ak0028jvqcwp,2002-06-25,10.0,18,0,5.501,95.0,-0.3500732760932248,-0.15031214375733684
ak0028jvqcwp,2002-06-25,10.0,18,30,5.825,80.0,-0.39961993122779516,0.1272173943280948
ak0028jvqcwp,2002-06-25,10.0,19,0,5.75,90.0,-0.3752343729857345,-0.12367670257736856
ak0028jvqcwp,2002-06-25,10.0,19,30,6.15,95.0,-0.4496190016331904,0.16075042646751483
ak0028jvqcwp,2002-06-25,10.0,20,0,6.65,100.0,-0.4626915433710704,-0.023473822315631065
ak0028jvqcwp,2002-06-25,10.0,20,30,6.1129999999999995,105.0,-0.5024966089244316,0.18702327525398302
ak0028jvqcwp,2002-06-25,10.0,21,0,6.225,110.0,-0.553585166659667,-0.01965088635976162
ak0028jvqcwp,2002-06-25,10.0,21,30,6.75,93.0,-0.5934974377507295,0.17736591531211593
ak0028jvqcwp,2002-06-25,10.0,22,0,6.51,100.0,-0.5865269393004165,-0.015462168833758307
ak0028jvqcwp,2002-06-25,10.0,22,30,6.75,97.0,-0.5408068924943762,0.1872160340700458
ak0028jvqcwp,2002-06-25,10.0,23,0,6.65,94.0,-0.6529990683342055,0.010899782064240613
ak0028jvqcwp,2002-06-25,10.0,23,30,6.75,95.0,-0.5942649506152544,0.19169453619634047
ak0028jvqcwp,2002-06-26,9.0,0,0,6.85,95.0,-0.19123330584571716,-0.5851092435498927
ak0028jvqcwp,2002-06-26,9.0,0,30,6.65,97.0,-0.2276948845582331,-0.376007163131687
ak0028jvqcwp,2002-06-26,9.0,1,0,6.25,88.0,-0.18440129032317315,-0.576981308114096
ak0028jvqcwp,2002-06-26,9.0,1,30,6.125,108.0,-0.13323060768177283,-0.39931234502444957
ak0028jvqcwp,2002-06-26,9.0,2,0,6.35,90.0,-0.14399521539427054,-0.5677066960212235
ak0028jvqcwp,2002-06-26,9.0,2,30,6.95,128.0,-0.1406193839682444,-0.4173340658080073
ak0028jvqcwp,2002-06-26,9.0,3,0,6.75,129.0,-0.09047893629222846,-0.6067804180078507
ak0028jvqcwp,2002-06-26,9.0,3,30,6.85,125.0,-0.0839388863888171,-0.3969020215100289
ak0028jvqcwp,2002-06-26,9.0,4,0,6.55,120.0,0.0015977964712452675,-0.5810310627088605
ak0028jvqcwp,2002-06-26,9.0,4,30,6.65,113.0,-0.04778443767956266,-0.3660620630427619
ak0028jvqcwp,2002-06-26,9.0,5,0,6.7,107.0,-0.09058310108972856,-0.5080631164714214
ak0028jvqcwp,2002-06-26,9.0,5,30,6.65,110.0,0.0781345038793833,-0.3161798186188356
ak0028jvqcwp,2002-06-26,9.0,6,0,6.5,105.0,0.08732070106655379,-0.42680463277049413
ak0028jvqcwp,2002-06-26,9.0,6,30,6.6,105.0,0.17269318425282207,-0.1972096123332894
ak0028jvqcwp,2002-06-26,9.0,7,0,6.6,100.0,0.1499826403534657,-0.3506208627463713
ak0028jvqcwp,2002-06-26,9.0,7,30,6.4,100.0,0.32056684736437024,-0.11763695092394601
ak0028jvqcwp,2002-06-26,9.0,8,0,6.35,103.0,0.4470618253741588,-0.28554543718786957
ak0028jvqcwp,2002-06-26,9.0,8,30,6.3,99.0,0.3956713116006324,-0.02672307160768792
ak0028jvqcwp,2002-06-26,9.0,9,0,6.4,109.84615384615385,0.5529643633729151,-0.17563658992143108
